File modules/solutions/moba_euclidean_solution.csv
elapsed_time;max_gen_reached
2527.857795;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;verbose
3;0.75;2;10;10;en;300;0.2;6;e;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.277728;0;0;1;1;0;1;0;0;0
0.272914;0;0;1;0;0;1;0;0;1
0.268818;0;0;0;0;0;1;1;1;0
0.267130;0;0;1;0;0;1;1;0;0
0.262633;0;0;1;0;1;1;0;0;0
0.261731;0;1;1;0;0;1;0;0;0
0.260871;1;0;0;0;1;1;0;0;0
0.260795;1;0;1;0;1;0;0;0;0
0.256718;1;0;1;0;0;0;0;0;1
0.256025;0;1;0;1;0;1;0;0;0
