File sol.csv
elapsed_time;max_gen_reached
32.760185;False
const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;n_neighborhood;seed;verbose
1;0.75;1;10;3;en;300;0.2;6;c;3;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.634866;0;0;0;1;0;0;1;1;0;0;0;0
0.589901;0;1;0;0;0;0;0;0;0;0;1;1
0.587812;0;0;0;0;0;0;0;1;0;1;1;0
0.546586;0;1;0;1;0;1;0;0;0;0;0;0
0.533169;0;0;0;1;0;0;0;0;0;0;1;1
0.520572;1;0;0;0;0;0;1;1;0;1;0;0
0.482645;0;0;0;1;0;0;0;0;1;0;0;1
0.478914;1;1;0;0;0;1;0;1;0;1;1;0
0.469626;0;0;0;0;0;0;0;1;1;1;0;1
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.55423;0.07015;9;1;212;782;212
