File solutions-new/moba/ga/solution7.csv
elapsed_time;max_gen_reached
830.867187;True
corr_threshold;dt;elsize;generation_size;k;k_tournament;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;time;verbose
0.75;2;10;50;10;0.75;en;300;6;c;3;0.01;30;100;0.5;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193905;0;1;0;1;0;1;0;0;0
0.189618;0;1;0;0;0;1;0;0;1
0.179064;0;1;1;1;0;1;0;0;0
0.172400;0;1;1;0;0;1;0;0;1
0.162870;1;1;0;1;0;1;0;0;0
0.156440;1;1;1;1;0;1;0;0;0
0.140435;1;1;1;0;0;1;0;0;1
0.135417;1;1;1;0;0;1;0;0;0
0.122736;1;1;0;0;0;1;0;0;1
0.112725;0;1;0;0;0;1;0;1;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.15656;0.02657;51;7;787.5311353206635;60;2280;60
