File solutions-new/moba/grasp/solution4.csv
elapsed_time;max_gen_reached
793.611408;False
alpha;const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;2;10;10;en;300;0.2;6;c;3;20;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193854;0;1;0;1;0;1;0;0;0
0.191310;0;1;0;0;0;1;0;0;1
0.179602;0;1;1;1;0;1;0;0;0
0.168628;0;1;1;0;0;1;0;0;1
0.158452;1;1;0;1;0;1;0;0;0
0.156754;1;1;1;1;0;1;0;0;0
0.141375;1;1;0;0;0;1;0;0;1
0.140217;1;1;1;0;0;1;0;0;1
0.137264;1;1;0;0;0;1;0;1;0
0.135586;1;1;1;0;0;1;0;0;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.1603;0.02109;62;1;180;6097;180
