File solutions-new/moba/vns-inv/solution1.csv
elapsed_time;max_gen_reached
2265.212598;True
const;corr_threshold;dt;elsize;funcs;invert;k;lang;max_iter;max_no_improv;maxs;metric;mins;n_neighborhood;seed;time;verbose
1;0.75;2;10;abc;1;10;en;300;0.2;6;c;3;3;1;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193673;0;1;0;1;0;1;0;0;0
0.191034;0;1;0;0;0;1;0;0;1
0.180171;0;1;1;1;0;1;0;0;0
0.167519;0;1;1;0;0;1;0;0;1
0.159309;1;1;0;1;0;1;0;0;0
0.156776;1;1;1;1;0;1;0;0;0
0.142341;1;1;1;0;0;1;0;0;1
0.137383;1;1;1;0;0;1;0;0;0
0.137067;1;1;0;0;0;1;0;1;0
0.130046;1;1;0;0;0;1;0;0;1
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.15953;0.02194;8;2;1296.367619752884;164;4675;164
