File modules/solutions/exato.csv,,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,cosine,3,-1,False
All_solutions,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.687259,0,0,0,0,1,0,0,1,0,0,0,1
0.662934,1,0,0,1,0,0,0,0,0,0,0,1
0.654959,0,1,0,0,0,0,0,0,0,1,1,0
0.652378,0,0,0,0,0,0,1,1,0,1,0,0
0.650785,0,0,0,0,0,0,0,1,0,1,0,1
0.646408,0,0,1,0,1,0,0,1,0,0,0,1
0.645479,1,0,0,1,0,0,1,0,0,0,0,0
0.641384,0,0,0,0,0,0,0,1,1,1,0,1
0.640599,0,0,0,1,0,0,1,0,0,1,0,0
0.627482,0,0,0,0,1,0,0,1,1,0,0,1
0.627061,0,1,0,0,0,1,0,1,0,0,0,0
0.618330,0,1,0,0,0,0,0,1,0,0,0,1
0.608183,0,0,0,0,0,1,0,1,0,1,0,0
0.605889,1,0,0,1,0,0,0,0,0,0,1,0
0.605151,0,1,0,0,0,0,1,1,0,0,1,0
0.603475,1,0,0,1,0,0,0,0,0,1,0,1
0.601556,0,0,0,0,0,1,0,1,0,1,1,0
0.600992,0,0,0,0,0,0,1,1,0,1,1,0
0.599534,0,0,0,0,1,1,0,1,0,0,0,1
0.594594,1,0,0,1,0,0,1,0,0,0,1,0
0.593263,0,0,0,0,1,0,0,1,0,0,1,0
0.591264,0,1,0,0,1,0,0,0,0,0,1,0
0.587681,1,0,0,1,0,0,1,0,0,1,0,0
0.586982,1,0,0,1,1,0,0,0,0,0,0,1
0.585953,0,1,0,0,0,0,1,1,1,0,0,0
0.585127,0,1,0,1,0,1,0,0,0,0,0,0
0.584714,0,1,0,0,0,0,0,1,1,0,0,1
0.582022,1,0,0,1,0,0,1,0,1,0,0,0
0.581696,0,0,0,0,0,0,0,1,1,1,1,1
0.580515,1,0,1,1,0,0,0,0,0,0,0,1
0.579109,0,0,0,1,0,0,0,0,0,1,0,1
0.578925,0,1,0,1,0,0,1,0,0,0,0,0
0.577678,1,0,0,1,0,0,0,0,1,0,0,1
0.577141,0,1,0,0,0,0,0,0,0,1,0,1
0.574681,0,1,0,0,0,0,0,1,0,0,1,0
