File solutions/ga/moba/solution6.csv
elapsed_time;max_gen_reached
1072.263866;True
corr_threshold;dt;elsize;generation_size;k;k_tournament;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;time;verbose
0.75;2;10;50;10;0.75;en;300;6;c;3;0.01;30;80;0.5;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.194143;0;1;0;1;0;1;0;0;0
0.192159;0;1;0;0;0;1;0;0;1
0.178913;0;1;1;1;0;1;0;0;0
0.159255;1;1;0;1;0;1;0;0;0
0.156687;1;1;1;1;0;1;0;0;0
0.112598;0;1;0;0;0;1;0;1;0
0.103589;0;1;0;0;0;1;1;1;0
0.097801;0;1;1;0;0;1;0;0;0
0.089984;1;1;0;0;0;1;1;1;0
0.089225;0;1;0;0;0;1;1;0;0
Mean;Std;It_total;It_best;Time_best;Number_solutions_hash;Hash_access;Hash_add
0.13744;0.04085;51;1;402.77141880989075;77;2280;77
