File solutions/ga/wine/solution.csv
elapsed_time;max_gen_reached
13.102416;True
corr_threshold;dt;elsize;k;lang;m_probability;max_iter;max_no_improv;maxs;metric;mins;n_generation;n_population;seed;size_selected;verbose
0.75;1;10;3;en;0.01;300;0.2;6;c;3;30;30;-1;0.5;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.671707;1;0;0;1;0;0;1;0;0;0;0;0
0.615981;0;1;0;0;0;0;0;1;0;0;1;0
0.601749;1;0;0;1;0;0;1;0;0;1;1;0
0.597212;0;0;0;0;0;0;0;1;0;1;1;0
0.579957;0;0;0;0;0;0;1;1;0;1;1;0
0.574263;1;0;0;0;0;0;0;1;0;1;1;0
0.572703;0;0;0;0;0;1;0;1;0;1;1;0
0.568537;0;0;0;0;0;0;0;1;0;1;1;1
0.549926;1;0;0;1;0;1;0;1;0;0;1;0
0.539978;1;0;0;1;0;1;0;1;0;1;1;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.5872;0.03561;1;1;78;1380;78
