File solutions/ga/wine/solution2.csv
elapsed_time;max_gen_reached
18.205677;True
corr_threshold;dt;elsize;generation_size;k;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;verbose
0.75;1;10;30;3;en;300;6;c;3;0.01;30;-1;0.5;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.649208;0;1;0;0;0;0;0;0;0;1;1;0
0.631337;1;0;0;1;0;0;0;0;0;0;1;0
0.624724;1;0;0;0;0;0;0;1;0;0;1;0
0.622325;1;0;0;1;0;1;0;0;0;0;0;1
0.618954;1;0;0;1;0;0;0;0;0;1;0;1
0.611476;0;1;0;0;0;0;0;1;0;0;1;0
0.609611;0;1;0;0;0;0;0;1;0;0;0;1
0.608151;1;0;0;1;0;0;0;0;1;0;0;1
0.606758;1;0;0;0;0;0;0;1;0;0;0;1
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.62807;0.0264;1;1;107;1380;107
