File solutions/ga/wine/solution5.csv
elapsed_time;max_gen_reached
23.351387;True
corr_threshold;dt;elsize;generation_size;k;k_tournament;lang;max_iter;maxs;metric;mins;mutation_prob;population_size;seed;selected_size;verbose
0.75;1;10;100;3;0.75;en;300;6;c;3;0.01;30;50;0.5;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.671707;1;0;0;1;0;0;1;0;0;0;0;0
0.666886;0;0;0;0;1;0;0;1;0;0;0;1
0.631337;1;0;0;1;0;0;0;0;0;0;1;0
0.615715;1;0;0;1;0;1;0;0;0;0;0;0
0.612166;1;0;0;1;0;1;0;0;0;0;0;1
0.606441;0;0;0;0;1;0;0;1;0;0;1;0
0.603556;0;0;0;1;0;0;0;0;0;1;0;1
0.600444;1;0;0;1;0;0;0;1;0;0;0;1
0.581699;1;0;0;1;0;1;0;0;0;0;1;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.62881;0.03566;1;1;124;4530;124
