File solutions/grasp/moba/cosine_cmc_3_300.csv,,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,,
2188.796599,False,,,,,,,,,,,,
alpha,const,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,2,0.75,2,10,10,en,300,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,,,,
0.192549,0,1,0,0,0,1,0,0,1,,,,
0.191755,0,1,0,1,0,1,0,0,0,,,,
0.135773,1,1,0,0,0,1,0,1,0,,,,
0.130902,1,1,1,0,0,1,0,0,0,,,,
0.122993,0,1,1,0,0,1,1,0,0,,,,
0.110799,1,1,1,0,0,1,1,0,0,,,,
0.104361,0,1,0,0,0,1,1,1,0,,,,
0.095424,0,1,1,0,0,1,0,0,0,,,,
0.089665,1,1,0,0,0,1,1,1,0,,,,
0.059708,1,1,0,0,0,1,1,0,0,,,,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,,
0.12339,0.0402,62,1,182,6341,182,,,,,,,
