File solutions/grasp/moba_cosine_solution.csv
elapsed_time;max_gen_reached
2095.589156;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;verbose
3;0.75;2;10;10;en;300;0.2;6;c;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193862;0;1;0;1;0;1;0;0;0
0.192730;0;1;0;0;0;1;0;0;1
0.138601;1;1;0;0;0;1;0;1;0
0.128432;1;1;1;0;0;1;0;0;0
0.123283;0;1;1;0;0;1;1;0;0
0.112365;1;1;1;0;0;1;1;0;0
0.097921;0;1;1;0;0;1;0;0;0
0.052324;1;1;1;0;0;0;0;0;0
0.039558;1;0;0;0;0;1;1;1;0
0.023365;1;1;1;0;0;0;1;0;0
