File solutions/grasp/wine/euclidean_cmv_4_50.csv,,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,,
13.799764,False,,,,,,,,,,,,
alpha,const,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
4,1,0.75,1,10,3,en,50,0.2,6,e,3,-1,False
Elite,,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11,
0.433535,1,0,0,0,0,0,0,0,0,0,1,1,
0.415763,1,0,0,0,0,0,1,1,0,0,0,0,
0.402689,1,1,0,1,0,0,0,0,0,0,0,0,
0.402423,1,1,0,0,0,0,0,0,0,0,1,0,
0.402128,1,0,0,0,0,0,0,1,0,0,0,1,
0.374820,1,1,0,0,0,0,0,1,0,0,0,0,
0.346546,1,1,0,0,0,0,1,1,0,0,1,0,
0.336603,0,1,0,0,0,0,0,1,0,0,1,0,
0.330707,1,1,0,0,0,0,0,1,0,0,1,0,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,,
0.3828,0.03502,18,7,88,277,88,,,,,,,
