File solutions/grasp/wine/solution1.csv
elapsed_time;max_gen_reached
60.892473;True
alpha;const;corr_threshold;dt;elsize;intensification_threshold;k;lang;max_iter;max_local_search;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;1;10;80;3;en;300;50;0.2;6;c;3;1;60;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.437009;1;0;0;1;0;0;0;0;0;1;1;1
0.435271;1;0;0;0;0;0;0;1;0;1;1;1
0.435160;1;0;0;1;0;1;0;1;0;0;1;1
0.433595;1;1;0;0;0;1;0;1;0;0;1;1
0.432149;0;1;0;0;0;0;1;1;0;1;1;0
0.430018;1;0;0;1;0;1;0;1;0;1;1;0
0.428128;1;0;0;1;0;0;1;0;0;0;1;0
0.428128;1;0;0;1;0;0;1;0;0;1;1;0
0.426495;1;0;0;1;0;0;0;0;1;1;1;0
0.322253;1;1;0;0;0;0;0;0;0;0;1;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.42082;0.03303;19;4;396;1655;396
