File solutions/ils/moba/cosine.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
2937.752754,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,2,10,10,en,300,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,,,
0.193854,0,1,0,1,0,1,0,0,0,,,
0.191876,0,1,0,0,0,1,0,0,1,,,
0.136374,1,1,0,0,0,1,0,1,0,,,
0.120241,1,1,0,0,0,1,0,0,1,,,
0.112535,1,1,1,0,0,1,1,0,0,,,
0.110675,0,1,0,0,0,1,0,1,0,,,
0.104149,0,1,0,0,0,1,1,1,0,,,
0.102559,0,1,1,0,1,1,0,0,0,,,
0.098605,0,1,1,0,0,1,0,0,0,,,
0.088508,0,1,0,0,0,1,1,0,0,,,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,
0.12594,0.03561,60,1,242,5734,242,,,,,,
