File solutions/ils/moba_cosine_solution.csv
elapsed_time;max_gen_reached
3311.963333;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;verbose
3;0.75;2;10;10;en;300;0.2;6;c;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193854;0;1;0;1;0;1;0;0;0
0.191687;0;1;0;0;0;1;0;0;1
0.138255;1;1;0;0;0;1;0;1;0
0.135010;1;1;1;0;0;1;0;0;0
0.124054;0;1;1;0;0;1;1;0;0
0.104373;0;1;0;0;0;1;1;1;0
-inf;0;1;0;0;1;1;0;0;0
-inf;0;1;0;1;1;0;0;0;0
-inf;0;0;0;0;1;1;1;0;1
-inf;0;1;0;0;0;0;0;1;1
