File solutions/ils/wine_cosine_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
111.770087,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.698179,1,0,0,1,0,0,0,0,0,0,0,1
0.671707,1,0,0,1,0,0,1,0,0,0,0,0
0.666886,0,0,0,0,1,0,0,1,0,0,0,1
0.649208,0,1,0,0,0,0,0,0,0,1,1,0
0.647514,0,0,0,1,0,0,1,0,0,1,0,0
0.637094,0,0,0,1,0,0,1,1,0,0,0,0
0.631337,1,0,0,1,0,0,0,0,0,0,1,0
0.624724,1,0,0,0,0,0,0,1,0,0,1,0
0.615981,0,1,0,0,0,0,0,1,0,0,1,0
0.615715,1,0,0,1,0,1,0,0,0,0,0,0
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,
0.64583,0.02529,61,1,715,5920,715,,,,,,
