File solutions/vns/wine/solution.csv
elapsed_time;max_gen_reached
20.122127;False
const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;n_neighborhood;seed;verbose
1;0.75;1;10;3;en;300;0.2;6;c;3;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.631337;1;0;0;1;0;0;0;0;0;0;1;0
0.618954;1;0;0;1;0;0;0;0;0;1;0;1
0.604974;1;0;0;1;0;0;0;0;0;1;1;0
0.587795;1;0;0;1;0;0;0;0;0;0;1;1
0.569430;0;1;0;1;0;0;0;0;0;0;0;1
0.448575;1;1;0;0;0;0;0;1;1;1;1;0
0.424769;1;1;0;1;1;1;0;0;0;1;0;0
0.375698;1;0;0;1;0;0;0;1;0;1;0;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.55108;0.10247;1;1;128;413;128
