File solutions/vns/wine/solution2.csv
elapsed_time;max_gen_reached
19.268820;True
const;corr_threshold;dt;elsize;funcs;k;lang;max_iter;max_no_improv;maxs;metric;mins;n_neighborhood;seed;verbose
1;0.75;1;10;abc;3;en;300;0.2;6;c;3;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.671707;1;0;0;1;0;0;1;0;0;0;0;0
0.647514;0;0;0;1;0;0;1;0;0;1;0;0
0.631337;1;0;0;1;0;0;0;0;0;0;1;0
0.628674;0;1;0;1;0;0;1;0;0;0;0;0
0.626400;1;0;0;1;0;0;1;0;0;1;0;0
0.605907;1;0;0;0;0;0;0;1;0;0;0;1
0.600444;1;0;0;1;0;0;0;1;0;0;0;1
0.566785;1;0;0;0;0;0;0;1;0;1;0;1
0.550044;1;1;0;1;0;0;1;0;0;1;1;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.6227;0.04245;1;1;123;767;123
