File solutions/vns/wine/solution7.csv
elapsed_time;max_gen_reached
104.171197;True
const;corr_threshold;dt;elsize;funcs;k;lang;max_iter;max_no_improv;maxs;metric;mins;n_neighborhood;seed;verbose
1;0.75;1;10;abc;3;en;300;0.2;6;c;3;3;100;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.698179;1;0;0;1;0;0;0;0;0;0;0;1
0.671707;1;0;0;1;0;0;1;0;0;0;0;0
0.666886;0;0;0;0;1;0;0;1;0;0;0;1
0.647514;0;0;0;1;0;0;1;0;0;1;0;0
0.637756;0;0;0;0;0;0;0;1;0;1;0;1
0.634866;0;0;0;1;0;0;1;1;0;0;0;0
0.632342;1;0;0;1;0;0;0;0;0;1;0;1
0.631337;1;0;0;1;0;0;0;0;0;0;1;0
0.628674;0;1;0;1;0;0;1;0;0;0;0;0
0.626194;1;0;0;1;0;0;1;0;0;1;0;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.64755;0.02255;1;1;652;6460;652
