File modules/solutions/wine_cosine_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
112.391787,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.687259,0,0,0,0,1,0,0,1,0,0,0,1
0.662934,1,0,0,1,0,0,0,0,0,0,0,1
0.658580,0,0,0,0,0,0,1,1,0,1,0,0
0.654959,0,1,0,0,0,0,0,0,0,1,1,0
0.650785,0,0,0,0,0,0,0,1,0,1,0,1
0.645479,1,0,0,1,0,0,1,0,0,0,0,0
0.638213,0,1,0,0,0,0,0,1,0,0,0,1
0.621241,0,1,0,0,0,1,0,1,0,0,0,0
0.608183,0,0,0,0,0,1,0,1,0,1,0,0
0.605889,1,0,0,1,0,0,0,0,0,0,1,0
