File modules/solutions/wine_euclidean_solution.csv
elapsed_time;max_gen_reached
65.450928;False
alpha;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;verbose
3;0.75;1;10;3;en;300;0.2;6;e;3;-1;False
Elite
evaluation;0;1;2;3;4;5;6;7;8;9;10;11
0.467047;1;0;0;0;0;0;1;0;0;1;0;0
0.455467;1;0;0;0;0;0;1;0;0;0;1;0
0.443678;1;0;0;0;0;0;0;0;0;1;0;1
0.437808;1;0;0;0;0;0;0;0;0;0;1;1
0.434241;1;0;0;0;0;1;0;0;0;0;0;1
0.432584;0;0;0;0;0;1;0;1;0;0;0;1
0.430417;1;1;0;0;0;0;1;0;0;0;0;0
0.422744;1;0;0;0;0;0;0;0;1;0;0;1
0.419751;1;0;0;1;0;0;0;0;0;0;0;1
0.416923;1;0;0;0;0;0;1;0;1;0;0;0
