File modules/solutions/wine_no_outlier_euclidean_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
25.667709,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,e,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.507361,1,0,0,0,0,0,1,0,0,1,0,0
0.463673,1,0,0,0,0,0,1,0,0,0,1,0
0.460277,1,1,0,0,0,0,1,0,0,0,0,0
0.438786,1,1,0,0,0,0,0,0,0,1,0,0
0.434736,1,0,0,0,0,0,0,0,0,0,1,1
0.425083,1,1,0,0,0,1,0,0,0,0,0,0
0.422710,1,1,0,0,0,0,0,0,0,0,1,0
