File teste.csv
elapsed_time;max_gen_reached
2243.324046;False
alpha;const;corr_threshold;dt;elsize;k;lang;max_iter;max_no_improv;maxs;metric;mins;seed;time;verbose
3;1;0.75;2;10;10;en;300;0.2;6;c;3;-1;7200;False
Elite
evaluation;0;1;2;3;4;5;6;7;8
0.193651;0;1;0;1;0;1;0;0;0
0.192878;0;1;0;0;0;1;0;0;1
0.179206;0;1;1;1;0;1;0;0;0
0.168072;0;1;1;0;0;1;0;0;1
0.162329;1;1;0;1;0;1;0;0;0
0.155730;1;1;1;1;0;1;0;0;0
0.140094;1;1;1;0;0;1;0;0;1
0.135935;1;1;0;0;0;1;0;1;0
0.133593;1;1;1;0;0;1;0;0;0
0.124353;0;1;1;0;0;1;1;0;0
Mean;Std;It_total;It_best;Number_solutions_hash;Hash_access;Hash_add
0.15858;0.02365;62;1;193;6274;193
